Category,Subcategories,Description
Class Experience,Class Quality,"Instructor technique, workout effectiveness, music quality, energy levels, choreography flow"
Class Experience,Class Scheduling,"Timing conflicts, insufficient class slots, peak hour congestion, cancellations, schedule changes, holiday schedules"
Class Experience,Class Overcrowding,"Too many participants, inadequate space per person, equipment shortage, uncomfortable proximity"
Class Experience,Class Level Appropriateness,"Difficulty level mismatch, lack of beginner/advanced options, progression gaps"
Class Experience,Class Variety,"Limited class formats, repetitive routines, new format requests, theme class requests"
Class Experience,Class Duration,"Too short/long, rushed transitions, inadequate warm-up/cool-down"
Class Experience,Music & Playlist,"Volume issues, music choice, outdated playlists, explicit content"
Class Experience,Class Pacing,"Too fast/slow, insufficient rest periods, unbalanced muscle targeting"
Class Experience,Warm-up/Cool-down,"Inadequate stretching, missing proper warm-up, rushed cool-down"
Class Experience,Modifications Offered,"Lack of injury modifications, pregnancy options, beginner alternatives"
Instructor Related,Teaching Quality,"Poor instruction, lack of modifications, unclear cues, inconsistent technique"
Instructor Related,Professionalism,"Late arrivals, unprepared, inappropriate behavior/comments, dress code violations"
Instructor Related,Attention & Correction,"Lack of individual attention, no form corrections, favoritism, ignoring raised hands"
Instructor Related,Communication,"Rude behavior, dismissive attitude, language barriers, poor English/Hindi fluency"
Instructor Related,Instructor Cancellations,"Last-minute substitutions, frequent cancellations, no prior notice"
Instructor Related,Motivation & Energy,"Low energy, demotivating comments, lack of encouragement, boring delivery"
Instructor Related,Safety & Injury Prevention,"Ignoring injury disclosures, pushing beyond limits, unsafe cues"
Instructor Related,Knowledge & Expertise,"Limited anatomy knowledge, inability to answer questions, inexperienced"
Instructor Related,Punctuality,"Starting late, ending early, extending beyond time"
Instructor Related,Personal Boundaries,"Overly physical adjustments without consent, inappropriate touching"
Facility & Amenities,Studio Cleanliness,"Unclean workout area, equipment hygiene, floor conditions, dust, mirrors"
Facility & Amenities,Changing Room Issues,"Locker problems, cleanliness, inadequate facilities, missing amenities, insufficient space"
Facility & Amenities,Washroom/Shower,"Maintenance issues, cleanliness, hot water, supplies, drainage, odor"
Facility & Amenities,Equipment Issues,"Broken/damaged props, insufficient equipment, worn-out mats, missing equipment"
Facility & Amenities,Temperature Control,"Too hot/cold, poor ventilation, AC issues, humidity problems"
Facility & Amenities,Lighting & Ambiance,"Poor lighting, broken mirrors, sound system issues, ambiance elements"
Facility & Amenities,Parking,"Unavailability, accessibility, valet service issues, charges, safety"
Facility & Amenities,Water & Refreshments,"Water station cleanliness, no hot water, lacking refreshments, unhygienic dispensers"
Facility & Amenities,Studio Layout,"Space constraints, flow issues, visibility problems, overcrowded reception"
Facility & Amenities,Maintenance Issues,"Broken fixtures, leaking, electrical issues, doors/locks not working"
Facility & Amenities,Hygiene Supplies,"Missing toiletries, hand wash, sanitizers, towels, tissues"
Facility & Amenities,Storage & Lockers,"Insufficient lockers, broken locks, no charging points, size issues"
Facility & Amenities,Seating & Waiting Area,"Uncomfortable, insufficient seating, cleanliness, lack of privacy"
Facility & Amenities,Accessibility,"No ramp/elevator, difficulty for differently-abled, narrow passages"
Membership & Billing,Billing Errors,"Incorrect charges, duplicate charges, wrong package applied, GST issues"
Membership & Billing,Payment Issues,"Payment gateway failures, declined transactions, refund delays"
Membership & Billing,Package/Plan Confusion,"Unclear terms, misleading information, hidden charges, validity confusion"
Membership & Billing,Membership Cancellation,"Difficult process, refund disputes, early termination penalties"
Membership & Billing,Membership Freeze,"Freeze request denial, complicated process, charges during freeze"
Membership & Billing,Renewal Issues,"Auto-renewal without notice, difficulty in renewal, price discrepancies"
Membership & Billing,Upgrade/Downgrade,"Process complexity, charge adjustments, package conversion issues"
Membership & Billing,Credits/Class Pack,"Credit expiry disputes, unused credits, transfer difficulties"
Membership & Billing,Promotional Offers,"Not honored, misleading offers, eligibility disputes, code not working"
Membership & Billing,Invoice/Receipt,"Missing invoices, incorrect details, GST compliance, delay in generation"
Membership & Billing,Contract Terms,"Unclear terms, disagreement on clauses, lock-in period disputes"
Booking & Technology,App/Website Issues,"Crash, slow loading, login problems, glitches, poor UI/UX"
Booking & Technology,Booking Failures,"Unable to book, booking not confirmed, double bookings"
Booking & Technology,Waitlist Issues,"Not moving from waitlist, waitlist not functioning, unclear priority"
Booking & Technology,Cancellation Problems,"Unable to cancel, late cancellation charges, cancellation window confusion"
Booking & Technology,Class Check-in,"QR code issues, manual check-in delays, attendance not recorded"
Booking & Technology,Notifications,"Missing reminders, spam notifications, no cancellation alerts"
Booking & Technology,Profile Management,"Unable to update details, incorrect information displayed"
Booking & Technology,Class Visibility,"Favorite instructors not showing, schedule not updating, wrong studio display"
Booking & Technology,Payment Gateway,"Transaction failures, amount deducted but booking failed"
Booking & Technology,Technical Support,"Unresponsive helpdesk for tech issues, long resolution time"
Customer Service,Front Desk Service,"Rude staff, unhelpful attitude, lack of product knowledge, inattentive"
Customer Service,Response Time,"Delayed email/call responses, unacknowledged complaints, no follow-up"
Customer Service,Issue Resolution,"Unresolved complaints, passed around departments, no accountability"
Customer Service,Communication Quality,"Poor communication, language barriers, unclear information, conflicting info"
Customer Service,Staff Knowledge,"Lack of class/membership knowledge, unable to guide, incorrect information"
Customer Service,Staff Availability,"No one at desk, long wait times, understaffed during peak hours"
Customer Service,Complaint Handling,"Dismissive attitude toward complaints, defensive responses, no escalation option"
Customer Service,Phone Support,"Unreachable, long hold times, disconnected calls, no call back"
Customer Service,Email/Chat Support,"Slow responses, generic replies, unresolved via email/chat"
Customer Service,Staff Professionalism,"Gossiping, using phones, eating at desk, inappropriate conversations"
Customer Service,Newcomer Experience,"Poor onboarding, no orientation, lack of guidance for first-timers"
Sales & Marketing,Misleading Information,"False promises during sales pitch, exaggerated benefits, pressure tactics"
Sales & Marketing,Aggressive Selling,"Excessive follow-ups, pressure to upgrade, unwanted sales calls"
Sales & Marketing,Trial Class Experience,"Poor trial experience, no proper introduction, rushed enrollment"
Sales & Marketing,Communication Overload,"Too many promotional emails/SMS, spam, irrelevant offers"
Sales & Marketing,Social Media,"Inaccurate information on social media, unresponsive to DMs, poor engagement"
Sales & Marketing,Guest Passes/Referrals,"Issues with guest passes, referral benefits not credited, restrictions not mentioned"
Sales & Marketing,Events & Workshops,"Poor organization, cancellations, misleading event details, registration issues"
