Label,Field Type,Options/Other Details,Sub Category,Category,Unique ID,Description,Is Required,Is Hidden
Ticket ID,Auto-generated,System generated unique ID,Global,Global,GLB-001,Unique identifier for each ticket,Yes,No
Date & Time Reported,DateTime,Auto-populated,Global,Global,GLB-002,When the issue was reported to staff,Yes,No
Date & Time of Incident,DateTime,Manual entry,Global,Global,GLB-003,When the issue actually occurred,Yes,No
Location,Dropdown,Kwality House Kemps Corner | Kenkre House | South United Football Club | Supreme HQ Bandra | WeWork Prestige Central | WeWork Galaxy | The Studio by Copper + Cloves | Pop-up,Global,Global,GLB-004,Studio location where issue occurred,Yes,No
Reported By (Staff),Dropdown,Associates list,Global,Global,GLB-005,Staff member logging the ticket,Yes,No
Client Name,Text,Free text entry,Global,Global,GLB-006,Name of the client reporting issue,Yes,No
Client Email,Email,Email format,Global,Global,GLB-007,Client's email address,No,No
Client Phone,Phone,Phone number format,Global,Global,GLB-008,Client's contact number,No,No
Client Status,Dropdown,Existing Active | Existing Inactive | New Prospect | Trial Client | Guest (Hosted Class),Global,Global,GLB-009,Client's membership status,Yes,No
Priority,Dropdown,Low (log only) | Medium (48hrs) | High (24hrs) | Critical (immediate),Global,Global,GLB-010,Urgency level of the issue,Yes,No
Department Routing,Dropdown,Operations | Facilities | Training | Sales | Client Success | Marketing | Finance | Management,Global,Global,GLB-011,Which department should handle this,Yes,No
Issue Description,Long Text,"Free text area, min 50 characters",Global,Global,GLB-012,Detailed description of the issue,Yes,No
Action Taken Immediately,Long Text,Free text area,Global,Global,GLB-013,What was done on the spot,No,No
Client Mood/Sentiment,Dropdown,Calm | Frustrated | Angry | Disappointed | Understanding,Global,Global,GLB-014,Client's emotional state,No,No
Follow-up Required,Checkbox,Yes/No,Global,Global,GLB-015,Does this need additional follow-up,Yes,No
Attachments,File Upload,"Images, PDFs, screenshots",Global,Global,GLB-016,Supporting documentation,No,No
Issue Type,Dropdown,App Crash | Slow Loading | Login Problems | Feature Not Working | UI/UX Confusion | Other,App/Website Issues,Booking & Technology,BT-APP-001,Specific type of technical issue,Yes,No
Platform,Dropdown,iOS App | Android App | Website (Desktop) | Website (Mobile),App/Website Issues,Booking & Technology,BT-APP-002,Which platform had the issue,Yes,No
Device/Browser,Text,Free text,App/Website Issues,Booking & Technology,BT-APP-003,Device model or browser used,No,No
App Version,Text,Auto-detect if possible,App/Website Issues,Booking & Technology,BT-APP-004,Version number of the app,No,Yes
Error Message,Text,Free text,App/Website Issues,Booking & Technology,BT-APP-005,Exact error message shown,No,No
Steps to Reproduce,Long Text,Free text area,App/Website Issues,Booking & Technology,BT-APP-006,What the client was trying to do,Yes,No
Screenshot Available,Checkbox,Yes/No,App/Website Issues,Booking & Technology,BT-APP-007,Did client provide screenshot,No,No
Workaround Provided,Long Text,Free text,App/Website Issues,Booking & Technology,BT-APP-008,Alternative solution offered,No,No
Class Attempted,Dropdown,Classes list,Booking Failures,Booking & Technology,BT-BOOK-001,Which class they tried to book,Yes,No
Instructor,Dropdown,Trainers list,Booking Failures,Booking & Technology,BT-BOOK-002,Instructor for the class,Yes,No
Class Date & Time,DateTime,Date/time picker,Booking Failures,Booking & Technology,BT-BOOK-003,When was the class,Yes,No
Failure Type,Dropdown,Unable to Book | Booking Not Confirmed | Double Booking | Booking Disappeared | Other,Booking Failures,Booking & Technology,BT-BOOK-004,Nature of booking failure,Yes,No
Credits/Package Used,Dropdown,Package list,Booking Failures,Booking & Technology,BT-BOOK-005,What package client tried to use,No,No
Credits Deducted,Dropdown,Yes | No | Unknown,Booking Failures,Booking & Technology,BT-BOOK-006,Were credits charged despite failure,Yes,No
Booking Confirmation Received,Dropdown,Yes | No | Partial,Booking Failures,Booking & Technology,BT-BOOK-007,Did they get confirmation email/notification,Yes,No
Manually Resolved,Dropdown,Yes - Added to Class | Yes - Credits Refunded | No - Still Pending,Booking Failures,Booking & Technology,BT-BOOK-008,How was it resolved on the spot,Yes,No
Class,Dropdown,Classes list,Waitlist Issues,Booking & Technology,BT-WAIT-001,Which class waitlist,Yes,No
Instructor,Dropdown,Trainers list,Waitlist Issues,Booking & Technology,BT-WAIT-002,Instructor name,Yes,No
Class Date & Time,DateTime,Date/time picker,Waitlist Issues,Booking & Technology,BT-WAIT-003,Class date and time,Yes,No
Issue Type,Dropdown,Not Moving from Waitlist | Waitlist Not Showing | Priority Confusion | Spot Available But Not Notified | Other,Waitlist Issues,Booking & Technology,BT-WAIT-004,Specific waitlist problem,Yes,No
Waitlist Position,Number,Numeric,Waitlist Issues,Booking & Technology,BT-WAIT-005,Client's position on waitlist,No,No
Time on Waitlist,Text,Hours/days,Waitlist Issues,Booking & Technology,BT-WAIT-006,How long they've been waiting,No,No
